------------------------------------------------------------------------------------------------------------------------
Best parameters found:
 {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.762 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'learning_rate_init': 1e-05, 'solver': 'adam'}
0.850 (+/-0.005) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'learning_rate_init': 0.025007500000000002, 'solver': 'sgd'}
0.851 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.849 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05000500000000001, 'solver': 'sgd'}
0.850 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05000500000000001, 'solver': 'adam'}
0.851 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0750025, 'solver': 'sgd'}
0.848 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0750025, 'solver': 'adam'}
0.850 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.847 (+/-0.005) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'adam'}
0.762 (+/-0.001) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'learning_rate_init': 1e-05, 'solver': 'sgd'}
0.759 (+/-0.008) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'learning_rate_init': 1e-05, 'solver': 'adam'}
0.847 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'sgd'}
0.851 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.849 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'learning_rate_init': 0.05000500000000001, 'solver': 'sgd'}
0.852 (+/-0.005) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'learning_rate_init': 0.05000500000000001, 'solver': 'adam'}
0.849 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'learning_rate_init': 0.0750025, 'solver': 'sgd'}
0.848 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'learning_rate_init': 0.0750025, 'solver': 'adam'}
0.848 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.850 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'adam'}
0.736 (+/-0.028) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'learning_rate_init': 1e-05, 'solver': 'sgd'}
0.743 (+/-0.031) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'learning_rate_init': 1e-05, 'solver': 'adam'}
0.850 (+/-0.005) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'learning_rate_init': 0.025007500000000002, 'solver': 'sgd'}
0.851 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.851 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05000500000000001, 'solver': 'sgd'}
0.849 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05000500000000001, 'solver': 'adam'}
0.851 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0750025, 'solver': 'sgd'}
0.851 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0750025, 'solver': 'adam'}
0.851 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'sgd'}
